time,|spark
278|,|48
278|,|48
279|,|47
279|,|48
280|,|48
280|,|48
281|,|48
282|,|48
282|,|49
283|,|49
283|,|49
284|,|49
285|,|49
285|,|49
286|,|49
286|,|49
287|,|49
287|,|49
288|,|49
289|,|50
289|,|49
290|,|49
290|,|49
291|,|49
292|,|49
292|,|49
293|,|49
293|,|49
294|,|49
294|,|49
295|,|48
296|,|48
296|,|48
297|,|48
297|,|47
299|,|48
299|,|47
300|,|47
301|,|47
301|,|47
302|,|47
302|,|47
303|,|46
304|,|46
304|,|46
305|,|45
305|,|44
306|,|44
306|,|44
307|,|43
308|,|42
308|,|42
309|,|42
309|,|41
310|,|41
311|,|41
311|,|41
312|,|41
312|,|41
313|,|41
313|,|41
314|,|41
315|,|41
315|,|41
316|,|41
316|,|41
317|,|41
318|,|42
318|,|42
319|,|42
319|,|42
320|,|42
320|,|42
321|,|43
322|,|42
322|,|43
323|,|42
323|,|43
324|,|42
324|,|42
325|,|41
326|,|42
326|,|42
327|,|42
327|,|42
328|,|42
329|,|42
329|,|42
330|,|42
330|,|42
331|,|42
331|,|42
332|,|42
333|,|42
333|,|42
334|,|41
334|,|42
335|,|42
336|,|42
336|,|42
337|,|41
337|,|42
338|,|41
338|,|41
339|,|41
340|,|40
340|,|41
342|,|41
342|,|39
343|,|40
343|,|40
344|,|40
345|,|40
345|,|40
346|,|40
346|,|40
347|,|40
348|,|40
348|,|40
349|,|40
349|,|40
350|,|40
350|,|40
351|,|40
349|,|44
570|,|44
570|,|44
571|,|44
572|,|44
572|,|44
573|,|44
573|,|44
574|,|44
575|,|44
575|,|44
576|,|44
576|,|44
577|,|44
577|,|44
578|,|44
579|,|44
579|,|44
580|,|44
580|,|44
581|,|44
581|,|44
582|,|44
583|,|44
583|,|44
584|,|44
584|,|44
585|,|44
586|,|44
586|,|45
587|,|45
587|,|45
588|,|45
588|,|45
589|,|45
590|,|45
590|,|45
591|,|45
591|,|46
592|,|44
593|,|44
593|,|44
594|,|44
594|,|44
595|,|44
595|,|45
596|,|44
598|,|45
598|,|44
599|,|44
599|,|47
600|,|45
601|,|44
601|,|45
602|,|45
602|,|45
603|,|45
603|,|45
604|,|44
605|,|45
605|,|44
606|,|45
606|,|46
607|,|46
607|,|46
608|,|47
609|,|45
609|,|45
610|,|46
610|,|46
611|,|46
612|,|46
612|,|46
613|,|42
613|,|46
614|,|46
614|,|46
615|,|47
616|,|46
616|,|46
617|,|47
617|,|47
618|,|48
619|,|47
619|,|47
620|,|47
620|,|48
621|,|48
621|,|48
622|,|48
623|,|48
623|,|48
624|,|49
624|,|48
625|,|48
625|,|49
626|,|48
627|,|49
627|,|49
628|,|49
628|,|49
629|,|49
630|,|49
630|,|49
631|,|49
631|,|49
632|,|49
632|,|50
633|,|50
634|,|50
634|,|53
635|,|51
635|,|51
636|,|51
637|,|51
637|,|51
638|,|51
638|,|51
640|,|52
640|,|52
641|,|51
642|,|51
642|,|51
643|,|52
643|,|52
644|,|52
645|,|52
645|,|52
646|,|52
646|,|52
647|,|52
647|,|52
648|,|52
649|,|52
649|,|52
650|,|51
650|,|52
651|,|52
651|,|52
652|,|52
653|,|52
653|,|52
654|,|52
654|,|52
655|,|55
656|,|52
656|,|52
657|,|52
657|,|52
658|,|52
658|,|52
659|,|52
660|,|52
660|,|52
661|,|52
661|,|52
662|,|51
663|,|52
663|,|52
664|,|52
664|,|52
665|,|52
665|,|52
666|,|52
667|,|52
667|,|52
668|,|52
668|,|52
669|,|52
669|,|51
670|,|52
671|,|52
671|,|52
672|,|52
672|,|52
673|,|52
674|,|52
674|,|52
675|,|52
675|,|52
676|,|52
676|,|52
677|,|51
678|,|52
678|,|52
679|,|52
679|,|52
680|,|52
681|,|52
681|,|52
683|,|52
683|,|52
684|,|52
684|,|53
685|,|52
686|,|52
686|,|52
687|,|52
687|,|52
688|,|52
689|,|52
689|,|53
690|,|52
690|,|52
691|,|52
691|,|53
692|,|54
693|,|52
693|,|52
694|,|52
694|,|52
695|,|52
695|,|52
696|,|52
697|,|53
697|,|52
698|,|53
698|,|52
699|,|52
